Date of Observation;Value-Weighted Return-incl. dividends
31.12.1925;
30.01.1926;0,000561036
27.02.1926;-0,03304553
31.03.1926;-0,06400222
30.04.1926;0,03702872
28.05.1926;0,01209523
30.06.1926;0,05366369
31.07.1926;0,0314107
31.08.1926;0,02864728
30.09.1926;0,00578737
30.10.1926;-0,02899619
30.11.1926;0,02855394
31.12.1926;0,029211
31.01.1927;0,002416228
28.02.1927;0,0453701
31.03.1927;0,003756279
30.04.1927;0,007225051
31.05.1927;0,05777311
30.06.1927;-0,02108671
30.07.1927;0,07527909
31.08.1927;0,02249037
30.09.1927;0,04992352
31.10.1927;-0,0407699
30.11.1927;0,06845258
31.12.1927;0,02378212
31.01.1928;-0,003339723
29.02.1928;-0,01447756
31.03.1928;0,09047843
30.04.1928;0,04384581
31.05.1928;0,01769032
30.06.1928;-0,04524517
31.07.1928;0,009399799
31.08.1928;0,07020616
29.09.1928;0,03149783
31.10.1928;0,01922795
30.11.1928;0,1214999
31.12.1928;0,005557177
31.01.1929;0,05393473
28.02.1929;-0,000446139
28.03.1929;-0,007808392
30.04.1929;0,01717913
31.05.1929;-0,05992296
29.06.1929;0,1015726
31.07.1929;0,04595761
30.08.1929;0,08534303
30.09.1929;-0,05045466
31.10.1929;-0,1966836
27.11.1929;-0,1238121
31.12.1929;0,01639001
31.01.1930;0,05840661
28.02.1930;0,02824166
31.03.1930;0,07463142
30.04.1930;-0,0205411
29.05.1930;-0,01401008
30.06.1930;-0,1599798
31.07.1930;0,04196365
29.08.1930;0,003662904
30.09.1930;-0,1248049
31.10.1930;-0,08657879
29.11.1930;-0,02805652
31.12.1930;-0,07773924
31.01.1931;0,06378046
28.02.1931;0,1096945
31.03.1931;-0,06286591
30.04.1931;-0,100219
29.05.1931;-0,1338355
30.06.1931;0,1403397
31.07.1931;-0,06643803
31.08.1931;0,003078467
30.09.1931;-0,2917314
31.10.1931;0,08150863
30.11.1931;-0,08840158
31.12.1931;-0,134971
30.01.1932;-0,01053417
29.02.1932;0,05766299
31.03.1932;-0,1105994
30.04.1932;-0,1794166
31.05.1932;-0,2061978
30.06.1932;-0,004288574
30.07.1932;0,3406433
31.08.1932;0,3713877
