,salary,pcsalary,sales,roe,pcroe,ros,lsalary,lsales,industry
1,1095,20,27595,14.10000038,106.4000015,191,6.998509407,10.22538948,0
2,1001,32,9958,10.89999962,-30.60000038,13,6.908754826,9.206131935,0
3,1122,9,6125.899902,23.5,-16.29999924,14,7.022868156,8.720280647,0
4,578,-9,16246,5.900000095,-25.70000076,-21,6.359573841,9.695602417,0
5,1368,7,21783.19922,13.80000019,-3,56,7.221105099,9.988894463,0
6,1145,5,6021.399902,20,1,55,7.043159962,8.703075409,0
7,1078,10,2266.699951,16.39999962,-5.900000095,62,6.982862949,7.726080418,0
8,1094,7,2966.800049,16.29999924,-1.600000024,44,6.997595787,7.995239258,0
9,1237,16,4570.200195,10.5,-70.19999695,37,7.120444298,8.427311897,0
10,833,5,2830,26.29999924,-23.89999962,37,6.72503376,7.948031902,0
11,567,7,596.7999878,25.89999962,39.5,109,6.340359211,6.391582012,0
12,933,-3,19773,26.79999924,-26.79999924,-10,6.838405132,9.892072678,0
13,1339,-9,40047,14.80000019,12.10000038,41,7.199678421,10.59780884,0
14,937,9,2513.800049,22.29999924,9.800000191,44,6.842683315,7.829550743,0
15,2011,49,1580.599976,56.29999924,62.20000076,63,7.606387615,7.365559578,0
16,1585,4,6754,12.60000038,9.300000191,17,7.368339539,8.817890167,0
17,905,12,1066.300049,20.39999962,33.79999924,141,6.807934761,6.971950054,0
18,1058,94,3199.899902,1.899999976,-86.80000305,-15,6.964135647,8.070875168,0
19,922,48,1452.699951,19.89999962,97.30000305,56,6.826545238,7.281178951,0
20,1220,-7,8995,15.39999962,19.5,28,7.106606007,9.104424477,0
21,1022,16,1212.300049,38.70000076,162.8999939,83,6.929516792,7.100274563,0
22,759,12,2824.199951,16.39999962,-9.399999619,21,6.632001877,7.945980549,0
23,1414,0,7621,24.39999962,-30.20000076,-10,7.254178047,8.938662529,0
24,1041,-11,4418.299805,15.60000038,-7.5,74,6.947937012,8.393509865,0
25,1688,1,12343,14.39999962,-16.79999924,15,7.431299686,9.420844078,0
26,2983,13,57662,19,9.899999619,42,8.000684738,10.96235371,0
27,1160,0,4319.700195,16.10000038,-23.29999924,-2,7.056175232,8.370941162,0
28,3844,61,20604,12.10000038,-5.900000095,18,8.254268646,9.933240891,0
29,476,6,611.2999878,16.20000076,-15.69999981,40,6.165417671,6.415587902,0
30,1492,10,12431.7002,18.39999962,-23.29999924,58,7.307872772,9.428005219,0
31,1024,-3,8169,14.19999981,-36.20000076,-10,6.931471825,9.008101463,0
32,1593,18,20659,14.89999962,410.2999878,16,7.373374462,9.93590641,0
33,427,27,3072.100098,12.39999962,-17.70000076,61,6.056784153,8.030117035,0
34,829,5,1669.099976,17.10000038,-39.29999924,64,6.720220089,7.420039654,0
35,797,-3,2401.199951,16.89999962,6,39,6.680854797,7.783723831,0
36,577,23,3043.600098,18.10000038,-13.5,1,6.357842445,8.020796776,0
37,1342,7,6222.200195,10.89999962,-6,59,7.201916218,8.735878944,0
38,1774,0,7727.899902,19.29999924,15.30000019,19,7.480992317,8.95259285,0
39,709,11,719.5,18.29999924,4.599999905,65,6.563855648,6.578556538,0
40,860,28,3921.300049,18.39999962,34.70000076,45,6.756932259,8.274178505,0
41,1336,20,5155.100098,13.80000019,1.700000048,7,7.197435379,8.54774189,0
42,516,-2,649.2000122,13.69999981,-10.30000019,27,6.246106625,6.47574091,0
43,931,20,10885,12.69999981,14.5,10,6.836259365,9.29514122,0
44,815,12,1651.900024,15.10000038,-2.400000095,33,6.703187943,7.40968132,0
45,1681,20,12915,16.5,-66.69999695,29,7.427144051,9.466144562,0
46,568,-36,11436,10.19999981,-48.29999924,-19,6.342121601,9.344521523,0
47,775,7,2210.300049,19.60000038,18.89999962,34,6.652863026,7.700883389,0
48,1188,9,3737.800049,12.80000019,32.5,15,7.080026627,8.226252556,0
49,782,-1,1976.699951,15.89999962,-0.600000024,24,6.661854744,7.589183807,0
50,1170,0,2576,17.29999924,-39.09999847,93,7.064759254,7.853992939,0
51,1469,8,6309.100098,8.5,93.90000153,79,7.292336941,8.74974823,0
52,916,-1,2940.5,16.39999962,25.79999924,105,6.820016384,7.986334801,0
53,1070,-9,1072.599976,19.5,34.79999924,269,6.975413799,6.9778409,0
54,894,1,1534,19.20000076,-3.700000048,74,6.795705795,7.335633755,0
55,829,-4,2158.800049,15.89999962,-27.60000038,-18,6.720220089,7.677307606,0
56,780,17,1736,19.89999962,50.70000076,23,6.659294128,7.459338665,0
57,2327,10,3598.800049,28.10000038,-28.29999924,104,7.752335072,8.188355446,0
58,717,20,1413.599976,25,-15.80000019,56,6.575075626,7.253894806,0
59,1368,9,13538,15,-8.800000191,-43,7.221105099,9.513256073,0
60,2028,185,69018,12.60000038,2.299999952,10,7.614805222,11.14212227,0
61,1195,2,6285,20.29999924,6.300000191,49,7.08590126,8.745921135,0
